"cluster","dt_apex_ms","rt_apex_s","dt_apex_to_min_ms","dt_apex_to_max_ms","rt_apex_to_min_s","rt_apex_to_max_s","dt_min_ms","dt_max_ms","dt_length_ms","rt_min_s","rt_max_s","rt_length_s"
"Cluster75",13.7866666666667,661.71,0.0860000000000002,0.0800000000000001,9.46050000000001,8.61000000000001,13.7006666666667,13.8666666666667,0.166,652.2495,670.32,18.0705
"Cluster10",9.40666666666667,460.32,0.0400000000000008,0.0526666666666661,1.41750000000003,4.97699999999996,9.36666666666667,9.45933333333333,0.0926666666666662,458.9025,465.297,6.39449999999999
"Cluster11",9.46,520.065,0.0533333333333328,0.0460000000000011,5.88,3.45449999999997,9.40666666666667,9.506,0.0993333333333339,514.185,523.5195,9.33449999999993
"Cluster29",10.2533333333333,185.64,0.0533333333333328,0.0533333333333346,5.03999999999999,5.376,10.2,10.3066666666667,0.106666666666667,180.6,191.016,10.416
"Cluster71",12.5866666666667,445.41,0.0533333333333342,0.0533333333333328,5.66999999999998,2.60399999999997,12.5333333333333,12.64,0.106666666666667,439.74,448.014,8.27399999999994
"Cluster61",12.0933333333333,457.8,0.0533333333333328,0.0533333333333346,3.38099999999999,2.51999999999998,12.04,12.1466666666667,0.106666666666667,454.419,460.32,5.90099999999995
"Cluster78",14.04,338.52,0.0666666666666664,0.0800000000000001,7.00350000000002,6.657,13.9733333333333,14.12,0.146666666666667,331.5165,345.177,13.6605
"Cluster87",17.3533333333333,657.3,0.0926666666666636,0.0659999999999998,1.42799999999992,2.05800000000002,17.2606666666667,17.4193333333333,0.158666666666662,655.872,659.358,3.48599999999988
"Cluster35",10.6266666666667,619.29,0.0533333333333328,0.0513333333333345,4.97699999999997,2.75099999999996,10.5733333333333,10.678,0.104666666666667,614.313,622.041,7.72799999999995
"Cluster55",11.6133333333333,724.08,0.0533333333333336,0.0533333333333346,6.60449999999996,4.17900000000004,11.56,11.6666666666667,0.106666666666667,717.4755,728.259,10.7835
"Cluster59",12.0933333333333,399.525,0.0533333333333328,0.0533333333333346,2.289,3.16049999999999,12.04,12.1466666666667,0.106666666666667,397.236,402.6855,5.4495
"Cluster6",9.16,315.105,0.0646666666666664,0.0760000000000002,5.6595,4.31549999999997,9.09533333333333,9.236,0.140666666666666,309.4455,319.4205,9.97499999999997
"Cluster7",9.2,879.585,0.0533333333333346,0.0533333333333328,6.60450000000001,5.838,9.14666666666667,9.25333333333333,0.106666666666667,872.9805,885.423,12.4425
"Cluster8",9.22666666666667,228.375,0.0533333333333328,0.0533333333333346,11.697,11.319,9.17333333333333,9.28,0.106666666666667,216.678,239.694,23.016
"Cluster82",14.9466666666667,1437.345,0.0726666666666675,0.0726666666666675,16.3485,13.8495000000001,14.874,15.0193333333333,0.145333333333337,1420.9965,1451.1945,30.1980000000001
"Cluster65",12.0933333333333,890.82,0.0533333333333328,0.0533333333333346,2.41500000000002,2.93999999999994,12.04,12.1466666666667,0.106666666666667,888.405,893.76,5.3549999999999
"Cluster3",8.98666666666667,152.67,0.0533333333333328,0.0533333333333346,5.9745,2.82449999999999,8.93333333333333,9.04,0.106666666666667,146.6955,155.4945,8.79900000000001
"Cluster45",11,644.385,0.0533333333333343,0.0646666666666682,1.64849999999994,1.55400000000006,10.9466666666667,11.0646666666667,0.118000000000002,642.7365,645.939,3.20249999999999
"Cluster37",10.8666666666667,170.415,0.0533333333333328,0.0486666666666666,9.24000000000001,2.44650000000001,10.8133333333333,10.9153333333333,0.101999999999999,161.175,172.8615,11.6865
"Cluster28",10.1733333333333,409.08,0.063333333333333,0.0533333333333346,4.77749999999999,2.94000000000003,10.11,10.2266666666667,0.116666666666667,404.3025,412.02,7.71749999999997
"Cluster63",12.0933333333333,759.36,0.0533333333333328,0.0533333333333346,1.21799999999999,1.82699999999999,12.04,12.1466666666667,0.106666666666667,758.142,761.187,3.04499999999996
"Cluster54",11.5866666666667,935.445,0.0533333333333346,0.0533333333333328,7.56000000000004,6.04799999999996,11.5333333333333,11.64,0.106666666666667,927.885,941.493,13.6080000000001
"Cluster16",9.77333333333333,322.14,0.0533333333333328,0.0513333333333345,3.95850000000001,2.24700000000001,9.72,9.82466666666667,0.104666666666667,318.1815,324.387,6.20550000000003
"Cluster57",12.0933333333333,290.43,0.0533333333333328,0.0533333333333346,1.68000000000001,2.72999999999999,12.04,12.1466666666667,0.106666666666667,288.75,293.16,4.40999999999997
"Cluster72",12.6,1035.195,0.0533333333333346,0.0533333333333346,9.17699999999989,6.67800000000002,12.5466666666667,12.6533333333333,0.106666666666669,1026.018,1041.873,15.855
"Cluster86",16.4133333333333,1543.395,0.0753333333333334,0.0973333333333333,3.19199999999995,2.77200000000002,16.338,16.5106666666667,0.172666666666665,1540.203,1546.167,5.96399999999994
"Cluster15",9.77333333333333,251.79,0.0533333333333328,0.0533333333333346,13.629,8.505,9.72,9.82666666666667,0.106666666666667,238.161,260.295,22.134
"Cluster67",12.12,249.48,0.0666666666666664,0.090666666666667,1.617,1.86900000000001,12.0533333333333,12.2106666666667,0.157333333333334,247.863,251.349,3.48599999999999
"Cluster12",9.64,156.345,0.0533333333333328,0.0533333333333328,7.959,5.03999999999999,9.58666666666667,9.69333333333333,0.106666666666666,148.386,161.385,12.999
"Cluster25",9.78666666666667,303.66,0.046666666666666,0.0533333333333346,5.77500000000001,3.25500000000002,9.74,9.84,0.0999999999999996,297.885,306.915,9.02999999999997
"Cluster32",10.3866666666667,420,0.0533333333333328,0.0533333333333346,6.29999999999998,4.62,10.3333333333333,10.44,0.106666666666667,413.7,424.62,10.92
"Cluster17",9.77333333333333,357.735,0.0533333333333328,0.0533333333333346,0.934499999999991,2.6145,9.72,9.82666666666667,0.106666666666667,356.8005,360.3495,3.54900000000004
"Cluster18",9.77333333333333,397.74,0.0533333333333328,0.0533333333333346,2.54099999999998,2.8665,9.72,9.82666666666667,0.106666666666667,395.199,400.6065,5.40750000000003
"Cluster47",11.0133333333333,181.65,0.0533333333333328,0.0533333333333346,10.689,10.7625,10.96,11.0666666666667,0.106666666666667,170.961,192.4125,21.4515
"Cluster56",11.68,178.92,0.0533333333333346,0.0533333333333339,2.09999999999999,9.492,11.6266666666667,11.7333333333333,0.106666666666669,176.82,188.412,11.592
"Cluster80",14.66,468.51,0.0666666666666664,0.0666666666666664,7.77000000000001,2.40449999999999,14.5933333333333,14.7266666666667,0.133333333333333,460.74,470.9145,10.1745
"Cluster14",9.76,793.065,0.0533333333333328,0.0533333333333346,7.13999999999999,3.77999999999997,9.70666666666667,9.81333333333333,0.106666666666667,785.925,796.845,10.92
"Cluster48",11.0266666666667,471.03,0.0533333333333328,0.0533333333333336,11.6445,4.25249999999998,10.9733333333333,11.08,0.106666666666666,459.3855,475.2825,15.897
"Cluster49",11.0466666666667,250.425,0.0533333333333346,0.0533333333333328,10.08,6.06900000000001,10.9933333333333,11.1,0.106666666666667,240.345,256.494,16.149
"Cluster19",9.77333333333333,432.81,0.0533333333333328,0.0533333333333346,3.81150000000002,7.32899999999999,9.72,9.82666666666667,0.106666666666667,428.9985,440.139,11.1405
"Cluster74",13.44,417.27,0.0800000000000001,0.0800000000000001,6.08999999999997,4.20000000000005,13.36,13.52,0.16,411.18,421.47,10.29
"Cluster34",10.6,241.92,0.0613333333333337,0.0533333333333346,6.34200000000001,6.216,10.5386666666667,10.6533333333333,0.114666666666668,235.578,248.136,12.558
"Cluster69",12.1733333333333,1543.71,0.0593333333333329,0.0593333333333339,13.8180000000001,8.16900000000001,12.114,12.2326666666667,0.118666666666666,1529.892,1551.879,21.9870000000003
"Cluster22",9.77333333333333,641.76,0.0533333333333328,0.0533333333333346,1.51199999999997,1.80599999999997,9.72,9.82666666666667,0.106666666666667,640.248,643.566,3.31799999999987
"Cluster68",12.1333333333333,974.61,0.0666666666666682,0.0666666666666664,8.07449999999998,7.65450000000002,12.0666666666667,12.2,0.133333333333335,966.5355,982.2645,15.7289999999999
"Cluster44",10.9866666666667,605.01,0.0533333333333346,0.0666666666666664,6.27900000000001,2.94000000000005,10.9333333333333,11.0533333333333,0.120000000000001,598.731,607.95,9.21900000000005
"Cluster73",13,248.85,0.0666666666666664,0.0666666666666682,8.61,5.1345,12.9333333333333,13.0666666666667,0.133333333333335,240.24,253.9845,13.7445
